search_range;description;link_page;link_pdf;name_pdf;published
[2012-01-01]-[2014-12-31];Despacho n.º 1205/2012 - Diário da República n.º 20/2012, Série II de 2012-01-27;https://diariodarepublica.pt/dr/detalhe/despacho/1205-2012-3666882;https://files.diariodarepublica.pt/2s/2012/01/020000000/0337103371.pdf;despacho_1205-2012_dr_20-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 16258/2013 - Diário da República n.º 243/2013, Série II de 2013-12-16;https://diariodarepublica.pt/dr/detalhe/despacho/16258-2013-3648226;https://files.diariodarepublica.pt/2s/2013/12/243000000/3572935730.pdf;despacho_16258-2013_dr_243-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8235/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8235-2013-3602791;https://files.diariodarepublica.pt/2s/2013/06/120000000/1995119951.pdf;despacho_8235-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8234/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8234-2013-3602790;https://files.diariodarepublica.pt/2s/2013/06/120000000/1995019951.pdf;despacho_8234-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8232/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8232-2013-3602788;https://files.diariodarepublica.pt/2s/2013/06/120000000/1995019950.pdf;despacho_8232-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8231/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8231-2013-3602787;https://files.diariodarepublica.pt/2s/2013/06/120000000/1995019950.pdf;despacho_8231-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8230/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8230-2013-3602786;https://files.diariodarepublica.pt/2s/2013/06/120000000/1995019950.pdf;despacho_8230-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8229/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8229-2013-3602785;https://files.diariodarepublica.pt/2s/2013/06/120000000/1995019950.pdf;despacho_8229-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8228/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8228-2013-3602784;https://files.diariodarepublica.pt/2s/2013/06/120000000/1994919949.pdf;despacho_8228-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8226/2013 - Diário da República n.º 120/2013, Série II de 2013-06-25;https://diariodarepublica.pt/dr/detalhe/despacho/8226-2013-3602782;https://files.diariodarepublica.pt/2s/2013/06/120000000/1994919949.pdf;despacho_8226-2013_dr_120-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 2774/2012 - Diário da República n.º 41/2012, Série II de 2012-02-27;https://diariodarepublica.pt/dr/detalhe/despacho/2774-2012-3597360;https://files.diariodarepublica.pt/2s/2012/02/041000000/0694806948.pdf;despacho_2774-2012_dr_41-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5415/2012 - Diário da República n.º 79/2012, Série II de 2012-04-20;https://diariodarepublica.pt/dr/detalhe/despacho/5415-2012-3592321;https://files.diariodarepublica.pt/2s/2012/04/079000000/1427214272.pdf;despacho_5415-2012_dr_79-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5414/2012 - Diário da República n.º 79/2012, Série II de 2012-04-20;https://diariodarepublica.pt/dr/detalhe/despacho/5414-2012-3592320;https://files.diariodarepublica.pt/2s/2012/04/079000000/1427214272.pdf;despacho_5414-2012_dr_79-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5413/2012 - Diário da República n.º 79/2012, Série II de 2012-04-20;https://diariodarepublica.pt/dr/detalhe/despacho/5413-2012-3592319;https://files.diariodarepublica.pt/2s/2012/04/079000000/1427114272.pdf;despacho_5413-2012_dr_79-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5412/2012 - Diário da República n.º 79/2012, Série II de 2012-04-20;https://diariodarepublica.pt/dr/detalhe/despacho/5412-2012-3592318;https://files.diariodarepublica.pt/2s/2012/04/079000000/1427114271.pdf;despacho_5412-2012_dr_79-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5411/2012 - Diário da República n.º 79/2012, Série II de 2012-04-20;https://diariodarepublica.pt/dr/detalhe/despacho/5411-2012-3592317;https://files.diariodarepublica.pt/2s/2012/04/079000000/1427114271.pdf;despacho_5411-2012_dr_79-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5410/2012 - Diário da República n.º 79/2012, Série II de 2012-04-20;https://diariodarepublica.pt/dr/detalhe/despacho/5410-2012-3592316;https://files.diariodarepublica.pt/2s/2012/04/079000000/1427114271.pdf;despacho_5410-2012_dr_79-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6133/2013 - Diário da República n.º 90/2013, Série II de 2013-05-10;https://diariodarepublica.pt/dr/detalhe/despacho/6133-2013-3542811;https://files.diariodarepublica.pt/2s/2013/05/090000000/1488614886.pdf;despacho_6133-2013_dr_90-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6132/2013 - Diário da República n.º 90/2013, Série II de 2013-05-10;https://diariodarepublica.pt/dr/detalhe/despacho/6132-2013-3542810;https://files.diariodarepublica.pt/2s/2013/05/090000000/1488614886.pdf;despacho_6132-2013_dr_90-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6131/2013 - Diário da República n.º 90/2013, Série II de 2013-05-10;https://diariodarepublica.pt/dr/detalhe/despacho/6131-2013-3542809;https://files.diariodarepublica.pt/2s/2013/05/090000000/1488614886.pdf;despacho_6131-2013_dr_90-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6130/2013 - Diário da República n.º 90/2013, Série II de 2013-05-10;https://diariodarepublica.pt/dr/detalhe/despacho/6130-2013-3542808;https://files.diariodarepublica.pt/2s/2013/05/090000000/1488514885.pdf;despacho_6130-2013_dr_90-2013.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6129/2013 - Diário da República n.º 90/2013, Série II de 2013-05-10;https://diariodarepublica.pt/dr/detalhe/despacho/6129-2013-3542807;https://files.diariodarepublica.pt/2s/2013/05/090000000/1488514885.pdf;despacho_6129-2013_dr_90-2013.pdf;2013-10-08
