description;link_page;link_pdf;name_pdf;date_save_pdf;pdf_ok
Despacho (extrato) n.º 8061/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8061-2023-216769594;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003900039.pdf;despacho_8061-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8060/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8060-2023-216769593;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003800038.pdf;despacho_8060-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8059/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8059-2023-216769592;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003700037.pdf;despacho_8059-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8058/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8058-2023-216769591;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003600036.pdf;despacho_8058-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8057/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8057-2023-216769590;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003500035.pdf;despacho_8057-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8056/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8056-2023-216769589;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003400034.pdf;despacho_8056-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8055/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8055-2023-216769588;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003300033.pdf;despacho_8055-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 8054/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8054-2023-216769587;https://files.diariodarepublica.pt/2s/2023/08/152000000/0003200032.pdf;despacho_8054-2023_dr_152-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7544/2023 - Diário da República n.º 140/2023, Série II de 2023-07-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7544-2023-215919312;https://files.diariodarepublica.pt/2s/2023/07/140000000/0003000030.pdf;despacho_7544-2023_dr_140-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7543/2023 - Diário da República n.º 140/2023, Série II de 2023-07-20;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7543-2023-215919311;https://files.diariodarepublica.pt/2s/2023/07/140000000/0002900029.pdf;despacho_7543-2023_dr_140-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7512/2023 - Diário da República n.º 139/2023, Série II de 2023-07-19;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7512-2023-215872904;https://files.diariodarepublica.pt/2s/2023/07/139000000/0005400054.pdf;despacho_7512-2023_dr_139-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7473/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7473-2023-215717369;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003400034.pdf;despacho_7473-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7472/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7472-2023-215717368;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003300033.pdf;despacho_7472-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7471/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7471-2023-215717367;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003200032.pdf;despacho_7471-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7470/2023 - Diário da República n.º 138/2023, Série II de 2023-07-18;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7470-2023-215717366;https://files.diariodarepublica.pt/2s/2023/07/138000000/0003100031.pdf;despacho_7470-2023_dr_138-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7328/2023 - Diário da República n.º 134/2023, Série II de 2023-07-12;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7328-2023-215527461;https://files.diariodarepublica.pt/2s/2023/07/134000000/0006000060.pdf;despacho_7328-2023_dr_134-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7193/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7193-2023-215269485;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007900079.pdf;despacho_7193-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7192/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7192-2023-215269484;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007800078.pdf;despacho_7192-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7191/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7191-2023-215269483;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007700077.pdf;despacho_7191-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7190/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7190-2023-215269482;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007600076.pdf;despacho_7190-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7189/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7189-2023-215269481;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007500075.pdf;despacho_7189-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 7187/2023 - Diário da República n.º 130/2023, Série II de 2023-07-06;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/7187-2023-215269479;https://files.diariodarepublica.pt/2s/2023/07/130000000/0007300073.pdf;despacho_7187-2023_dr_130-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6933/2023 - Diário da República n.º 125/2023, Série II de 2023-06-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6933-2023-214957143;https://files.diariodarepublica.pt/2s/2023/06/125000000/0003700037.pdf;despacho_6933-2023_dr_125-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6932/2023 - Diário da República n.º 125/2023, Série II de 2023-06-29;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6932-2023-214957142;https://files.diariodarepublica.pt/2s/2023/06/125000000/0003600036.pdf;despacho_6932-2023_dr_125-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6855/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6855-2023-214926226;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009300093.pdf;despacho_6855-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6854/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6854-2023-214926225;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009200092.pdf;despacho_6854-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6853/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6853-2023-214926224;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009100091.pdf;despacho_6853-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6852/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6852-2023-214926223;https://files.diariodarepublica.pt/2s/2023/06/124000000/0009000090.pdf;despacho_6852-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6851/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6851-2023-214926222;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008900089.pdf;despacho_6851-2023_dr_124-2023.pdf;01/11/2023 00:09;True
Despacho (extrato) n.º 6850/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6850-2023-214926221;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008800088.pdf;despacho_6850-2023_dr_124-2023.pdf;01/11/2023 00:10;True
Despacho (extrato) n.º 6849/2023 - Diário da República n.º 124/2023, Série II de 2023-06-28;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/6849-2023-214926220;https://files.diariodarepublica.pt/2s/2023/06/124000000/0008700087.pdf;despacho_6849-2023_dr_124-2023.pdf;01/11/2023 00:10;True
